Județul,Stația de racord (UAT),Putere Totală (MW),Full Address,latitude,longitude
Bacău,Răcăciuni,"0,25","Romania, Bacău, Răcăciuni",46.3260581,27.0138404
Botoșani,Hudum,"0,099","Romania, Botoșani, Hudum",47.734794,26.6294138
Caraș-Severin,Balta Sărată,"0,08","Romania, Caraș-Severin, Balta Sărată",45.3863747,22.2309308
Caraș-Severin,Crușovăț,"0,008","Romania, Caraș-Severin, Crușovăț",44.9967621,22.3206096
Caraș-Severin,Moldova Nouă - Cozla,48,"Romania, Caraș-Severin, Moldova Nouă - Cozla",,
Caraș-Severin,Oravița,"9,007","Romania, Caraș-Severin, Oravița",45.0381333,21.6860595
Caraș-Severin,Oravița - Flotație Sasca,"0,015","Romania, Caraș-Severin, Oravița - Flotație Sasca",,
Caraș-Severin,Oțelu Roșu - Bucova,"0,004","Romania, Caraș-Severin, Oțelu Roșu - Bucova",,
Constanța,Basarabi,"0,2","Romania, Constanța, Basarabi",44.1742796,28.4107956
Constanța,Basarabi - Cobadin,26,"Romania, Constanța, Basarabi - Cobadin",,
Constanța,Basarabi - Gura Ialomiței,123,"Romania, Constanța, Basarabi - Gura Ialomiței",,
Constanța,Basarabi - Medgidia Sud,76,"Romania, Constanța, Basarabi - Medgidia Sud",,
Constanța,Băneasa,"0,2","Romania, Constanța, Băneasa",44.06477,27.7015587
Constanța,Cobadin,"57,2","Romania, Constanța, Cobadin",44.0430775,28.2176064
Constanța,Eforie Sud,"0,01","Romania, Constanța, Eforie Sud",44.0278741,28.650451
Constanța,Fântânele,"13,8","Romania, Constanța, Fântânele",44.615124,28.5737201
Constanța,Galbiori,"68,8","Romania, Constanța, Galbiori",44.4928242,28.2577567
Constanța,Ghiol,"0,001759","Romania, Constanța, Ghiol",,
Constanța,Hârșova,"5,45","Romania, Constanța, Hârșova",44.6845557,27.9513766
Constanța,Hârșova - Medgidia Nord,70,"Romania, Constanța, Hârșova - Medgidia Nord",,
Constanța,,"0,035",,34.220389,70.3800314
Constanța,Mangalia,"8,5","Romania, Constanța, Mangalia",43.8150793,28.5830306
Constanța,Medgidia Sud - Rasova,90,"Romania, Constanța, Medgidia Sud - Rasova",,
Constanța,Mihai Viteazu,"85,6","Romania, Constanța, Mihai Viteazu",44.646064,28.6744256
Constanța,Mircea Vodă,"43,3014","Romania, Constanța, Mircea Vodă",44.3079821,28.1924952
Constanța,Mircea Vodă - Medgidia Nord,69,"Romania, Constanța, Mircea Vodă - Medgidia Nord",,
Constanța,Nazarcea,"0,2","Romania, Constanța, Nazarcea",44.2278858,28.4341499
Constanța,Neptun,"46,712","Romania, Constanța, Neptun",43.8663548,28.6011616
Constanța,Nicolae Bălcescu,18,"Romania, Constanța, Nicolae Bălcescu",44.3854141,28.3779094
Constanța,Nicolae Bălcescu - Galbiori,50,"Romania, Constanța, Nicolae Bălcescu - Galbiori",,
Constanța,PT 903,"0,02","Romania, Constanța, PT 903",,
Constanța,Sibioara - Sitorman,"0,0195","Romania, Constanța, Sibioara - Sitorman",,
Constanța,Siriu,"7,5","Romania, Constanța, Siriu",44.630543,28.1839422
Constanța,Sitorman,"50,337","Romania, Constanța, Sitorman",44.4201384,28.5058585
Constanța,Stupina,"287,4","Romania, Constanța, Stupina",44.565368,28.1792623
Constanța,Tariverde,600,"Romania, Constanța, Tariverde",44.562932,28.6019266
Constanța,Tătaru,6,"Romania, Constanța, Tătaru",43.8816798,28.3597318
Constanța,Tortomanu,69,"Romania, Constanța, Tortomanu",,
Ialomița,Gura Ialomiței,132,"Romania, Ialomița, Gura Ialomiței",44.7095971,27.7560484
Iași,Hârlău,9,"Romania, Iași, Hârlău",47.4278349,26.9007393
Iași,Târgu Frumos,60,"Romania, Iași, Târgu Frumos",47.2100643,27.0136647
Ilfov,,"0,02",,34.220389,70.3800314
Mehedinți,Topleț,"1,8","Romania, Mehedinți, Topleț",,
Suceava,Rădăuți,"0,6","Romania, Suceava, Rădăuți",47.8461055,25.9181822
Tulcea,Babadag,72,"Romania, Tulcea, Babadag",44.8929054,28.7211038
Tulcea,Baia,29,"Romania, Tulcea, Baia",44.7232529,28.6778489
Tulcea,Cișmeaua Nouă,"85,8","Romania, Tulcea, Cișmeaua Nouă",44.8006537,28.3334732
Tulcea,,"0,008",,34.220389,70.3800314
Tulcea,,"0,02",,34.220389,70.3800314
Tulcea,Măcin,"0,6","Romania, Tulcea, Măcin",45.247359,28.1341543
Tulcea,Mihai Viteazu - Zebil,34,"Romania, Tulcea, Mihai Viteazu - Zebil",,
Tulcea,Ostrov,"0,69","Romania, Tulcea, Ostrov",44.921738,28.1650056
Tulcea,,5,,34.220389,70.3800314
Tulcea,Rahman,"310,2","Romania, Tulcea, Rahman",44.7991947,28.272857
Tulcea,Sarinasuf,"20,51","Romania, Tulcea, Sarinasuf",45.0107028,29.060545
Tulcea,Topolog,27,"Romania, Tulcea, Topolog",44.8569424,28.3302384
Tulcea,Traian,"20,1","Romania, Tulcea, Traian",45.0287564,28.235177
Tulcea,Tulcea Est - Tulcea Oraș,70,"Romania, Tulcea, Tulcea Est - Tulcea Oraș",,
Tulcea,Tulcea Marmura,"1,372","Romania, Tulcea, Tulcea Marmura",,
Tulcea,Tulcea Vest,6,"Romania, Tulcea, Tulcea Vest",45.1808938,28.7929996
Tulcea,Tulcea Vest - Sarinasuf,34,"Romania, Tulcea, Tulcea Vest - Sarinasuf",,
Tulcea,Tulcea Vest - Tulcea Est,70,"Romania, Tulcea, Tulcea Vest - Tulcea Est",,
Tulcea,Tulcea Vest - Zebil,"46,75","Romania, Tulcea, Tulcea Vest - Zebil",,
Tulcea,Zebil,"8,34","Romania, Tulcea, Zebil",44.9465435,28.7678516
Vaslui,Gorban,18,"Romania, Vaslui, Gorban",,
Vaslui,Huși - Munteni,52,"Romania, Vaslui, Huși - Munteni",,
Vaslui,Munteni,"0,23","Romania, Vaslui, Munteni",46.591213,27.7575042
Vaslui,Vaslui,"3,6","Romania, Vaslui, Vaslui",46.639394,27.7309515
Vrancea,Șișcani,"1,2","Romania, Vrancea, Șișcani",46.1523045,27.1703935
